LoanID,Age,EmploymentType,EmploymentYears,City,MonthlyIncome,LoanAmount,LoanPurpose,LoanTenureMonths,InterestRate,ExistingLoans,CreditScore,LoanToIncomeRatio,Default
LN100001,44,Salaried,24,Rural,153248,1049573,Home,84,20.78,2,378,0.571,1
LN100002,52,Business Owner,26,Tier-2,195994,3346536,Personal,120,8.69,3,867,1.423,0
LN100003,41,Self-Employed,25,Tier-1,136273,1923112,Medical,84,9.9,0,875,1.176,0
LN100004,41,Self-Employed,3,Metro,71144,2949889,Vehicle,84,7.46,0,885,3.455,0
LN100005,64,Salaried,29,Rural,185387,3305571,Home,120,13.18,2,720,1.486,0
LN100006,58,Salaried,5,Tier-2,136355,3506032,Personal,60,20.38,3,513,2.143,1
LN100007,45,Self-Employed,0,Metro,113675,4119099,Medical,84,7.21,2,752,3.02,0
LN100008,52,Salaried,10,Tier-1,83430,656068,Business,120,14.44,0,594,0.655,0
LN100009,53,Business Owner,12,Tier-2,150429,3018046,Home,12,16.68,2,519,1.672,0
LN100010,60,Self-Employed,25,Tier-1,138528,4251577,Personal,84,16.59,2,359,2.558,0
LN100011,40,Salaried,15,Tier-1,155516,3750816,Vehicle,84,12.49,4,676,2.01,0
LN100012,53,Salaried,19,Tier-1,198472,2067535,Education,24,21.43,0,362,0.868,1
LN100013,57,Salaried,22,Tier-2,34097,1467513,Personal,84,16.51,0,476,3.587,1
LN100014,57,Business Owner,0,Tier-2,20805,4210045,Business,36,15.47,0,302,16.863,1
LN100015,35,Salaried,20,Metro,107994,463465,Education,60,12.07,0,727,0.358,0
LN100016,36,Salaried,6,Tier-1,58423,3093395,Personal,36,15.28,4,403,4.412,1
LN100017,31,Self-Employed,19,Tier-1,83538,4298820,Education,120,15.16,1,309,4.288,1
LN100018,28,Business Owner,29,Metro,122865,3532089,Education,24,15.86,4,516,2.396,1
LN100019,56,Self-Employed,9,Tier-2,158883,1671167,Vehicle,12,19.46,1,319,0.877,1
LN100020,22,Salaried,14,Tier-1,111197,3491497,Education,84,8.71,1,789,2.617,0
LN100021,32,Salaried,25,Metro,195115,2377159,Personal,120,10.39,4,652,1.015,0
LN100022,38,Self-Employed,29,Tier-1,171086,4289557,Medical,12,8.54,3,821,2.089,1
LN100023,27,Self-Employed,4,Tier-2,116728,3247803,Medical,24,17.44,0,626,2.319,0
LN100024,41,Business Owner,1,Metro,102378,4046478,Education,24,10.98,1,719,3.294,1
LN100025,58,Salaried,4,Metro,32518,1366225,Business,48,15.51,1,369,3.501,0
LN100026,54,Salaried,6,Metro,178933,2097940,Education,12,12.35,3,696,0.977,0
LN100027,61,Self-Employed,7,Metro,187017,4482805,Home,84,13.37,0,691,1.998,0
LN100028,22,Salaried,5,Rural,137688,3396036,Personal,48,20.09,3,482,2.055,0
LN100029,63,Business Owner,18,Tier-1,162360,3734315,Personal,12,18.42,1,485,1.917,0
LN100030,25,Salaried,15,Tier-2,139678,342125,Business,84,19.06,2,509,0.204,0
LN100031,50,Self-Employed,29,Metro,161875,3059292,Education,36,21.01,4,509,1.575,0
LN100032,62,Self-Employed,16,Rural,187458,500216,Vehicle,24,8.97,3,791,0.222,0
